record_id,type,type_english
THUAS_S001,"House renovation, cycling and bouldering","House renovation, cycling and bouldering"
THUAS_S001,NA,NA
THUAS_S001,gardening,gardening
THUAS_S001,walking,walking
THUAS_S001,working in SnowWorld,working in SnowWorld
THUAS_S001,surfing,surfing
THUAS_S001,dancing,dancing
THUAS_S002,NA,NA
THUAS_S002,n.a,NA
THUAS_S002,Marshall arts,Martial arts
THUAS_S003,walking and cleaning,walking and cleaning
THUAS_S003,buiten gewandeld en in de hogeschool,walked outside and in the university
THUAS_S003,"wandelen, van auto naar werk, in gebouw enz.    'savonds 1,5 uur gewandeld","walking, from car to work, in building etc. In the evening walked 1.5 hours"
THUAS_S003,winkelen en schoonmaken,shopping and cleaning
THUAS_S003,NA,NA
THUAS_S003,walking,walking
THUAS_S005,"working out in the gym, jumpin and lifting excercises","working out in the gym, jumping and lifting exercises"
THUAS_S005,NA,NA
THUAS_S005,upper body Workout without weights,Upper body workout without weights
THUAS_S005,treadmill and callisthenics,treadmill and calisthenics
THUAS_S005,cycling in the city,cycling in the city
THUAS_S006,cycling and stretching,cycling and stretching
THUAS_S006,cyclingbtobwork,cycling back to work
THUAS_S006,cycle to work,cycle to work
THUAS_S006,cycling,cycling
THUAS_S006,bouldering,bouldering
THUAS_S007,cycle to and from work,cycle to and from work
THUAS_S007,cycling,cycling
THUAS_S007,walking,walking
THUAS_S007,cycling wakkjng,cycling walking
THUAS_S007,erands in city by bike,errands in city by bike
THUAS_S007,erand on bicycle,errand on bicycle
THUAS_S010,interval training running,interval training running
THUAS_S010,"hard labour, intensive never standing still or sitting down","hard labor, intensive work without standing still or sitting down"
THUAS_S010,running,running
THUAS_S010,bikes to work of my girlfriends and to school and back to her work and home,"bikes to work of my girlfriend, to school, then back to her work and home"
THUAS_S010,"mostly just cleaning stuff, lifting boxes etc","mostly cleaning, lifting boxes, and similar tasks"
THUAS_S010,went to the gym in the morning and running in the evening,went to the gym in the morning and running in the evening
THUAS_S011,NA,NA
THUAS_S011,running,running
THUAS_S011,walking,walking
THUAS_S014,cycling from work,cycling from work
THUAS_S014,les mills body pump,Les Mills Body Pump
THUAS_S014,body pump,body pump
THUAS_S014,I cycled to and from my work with glasses and practiced Pilatus without glasses,I cycled to and from my work with glasses and practiced Pilates without glasses
THUAS_S014,sup board peddling without glasses and wristband,SUP board paddling without glasses and wristband
THUAS_S014,Pilatus two times today,Pilates two times today
THUAS_S015,just a walk nothing intensive,walking (not intensive)
THUAS_S015,waterfiets en normaal fietsen,pedal boat and normal bicycles
THUAS_S015,NA,NA
THUAS_S015,just a walk to and from the station to work,commuting walk
THUAS_S015,dancing at north sea jazz festival,dancing at North Sea Jazz Festival
THUAS_S015,biked and walked most of the day,biked and walked most of the day
THUAS_S015,"dancing at north sea jazz festival, biking over the bridge","dancing at North Sea Jazz Festival, biking over the bridge"
THUAS_S016,biking,biking
THUAS_S016,cycling,cycling
THUAS_S016,walking,walking
THUAS_S017,gym and biking,gym and biking
THUAS_S018,cycling,cycling
THUAS_S018,cycling and rollerblade,Cycling and rollerblading
THUAS_S018,beachvolley,beach volleyball
THUAS_S018,cycling and walking,cycling and walking
THUAS_S018,cycling and bouldering,cycling and bouldering
THUAS_S018,rollerblading,rollerblading
THUAS_S018,cycling and rollerblading,cycling and rollerblading
THUAS_S019,NA,NA
THUAS_S019,bicycle riding to/from office,bicycle riding to/from office
THUAS_S019,30,NA
THUAS_S019,"underwater hockey, synchronised swimming, rescue swimming","underwater hockey, synchronized swimming, rescue swimming"
THUAS_S019,bicycling,bicycling
THUAS_S019,walking in the park,walking in the park
THUAS_S019,biking,biking
THUAS_S020,Biking for 20kms inside city,Biking for 20kms inside city
THUAS_S020,Biking,Biking
THUAS_S020,Biking to work and supermarket,Biking to work and supermarket
THUAS_S020,Biking fast to work,Biking fast to work
THUAS_S020,Biking to super market and gardening for 1 hour and 45 minutes,Biking to supermarket and gardening for 1 hour and 45 minutes
THUAS_S020,Biking inside city,Biking inside city
THUAS_S020,Biking fast inside city,Biking fast inside city
