record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
THUAS_S001,They felt a bit in your face for their appearance and they were not that comfortable.,"The glasses sliding off, wiping the nosebit, to clean the moisture off.","Being in public, during (water)sports and during work in SnowWorld.","Might have worked more from home, than usual.","Yes for sure. People were interested, but sometimes also found it silly.",1. The sensor could be designed way smaller and integrated in the normal glasses. 2. The sensor could be mounted on top of a cap so it is less protruding and less heavy to wear.,"I might have gone quicker to sleep, because I filled in the form and therefore I was not going to do something else.",FALSE,They felt a bit in your face for their appearance and they were not that comfortable,"The glasses sliding off, wiping the nosebit, to clean the moisture off.","being in public, during (water)sports and during work in SnowWorld.","Might have worked more from home, than usual.","Yes for sure. People were interested, but sometimes also found it silly.",1. The sensor could be designed way smaller and integrated in the normal glasses.   2. The sensor could be mounted on top of a cap so it is less protruding and less heavy to wear.,"I might have gone quicker to sleep, because I filled in the form and therefore I was not going to do something else."
THUAS_S002,Very difficult,No clear vision. And relatively heavy. A lot of staring looks. Too conspicuous. And I felt very restricted.,During the whole day. But mostly while driving and in the morning when leaving the house.,"More alert, because it's not just the glasses, but also the other things (armband, necklace). You're constantly checking if everything is still okay and in place.",Yes,"Yes, not such a sensor as a large rectangle. I thought the sensor was integrated into the temple or the frame itself. If I had known it would be this conspicuous, I wouldn't have participated in the study.",Not really changed anything. It did give me insights into my daily routine. And I see that I go to bed too late. It also seems that I go outside too little.,FALSE,Heel lastig,geen goed zicht. En relatief zwaar. Veel starende blikken.   Te opvallend. En voelde mij erg restricted.,Tijdens de hele dag. Maar meeste tijdens het autorijden en in de ochtend bij het weggaan.,"Meer oplettend, want het gaat niet alleen de bril, maar ook de andere dingen (armband ketting). Je bet continu bezig te checken of alles wel goed gaat en zit.",Ja,"Ja, niet zo een sensor als grote rechthoek. Ik dacht dat de sensor in het pootje of in de frame zelf was verwerkt. Als ik wist dat het zo opzichtig zou zijn had ik niet meegedaan aan het onderzoek.",Niet echt iets veranderd. Gaf mij wel inzichten in mijn dagelijkse routine. En ik zie wel dat ik te laat ga slapen.  Ik ga ook te weinig naar buiten lijkt het.
THUAS_S003,Often I didn't notice I was wearing it. But sometimes it was socially awkward. It also sometimes bothered me that the vision was a bit less clear than without glasses.,Socially awkward: at first it also gave me conflicting feelings: am I a fool or an attention seeker for doing this? But I also got compliments for participating. And sometimes it was visually tiring.,At first during social interactions. Also when reading and in poor lighting.,"Explained it a lot at work. Had to think about whether I was wearing it during school visits. I did wear it. My supervisors then explained to others what I was wearing, which made them feel awkward too. I did not wear it when accompanying my husband to a cafe.","Strange (not always friendly) looks on the street. Strange looks at work, but then it would lead to a conversation. Sometimes laughter, but that was positive. Compliments for doing it. Sometimes an interested question in the store or on the street. Almost everyone thought I was filming.",Much smaller sensor. Even clearer lenses. The app should make it clearer that you have to click 'done' several times for the information to be sent.,"No. I know that you need light and should go outside. Sometimes that happens, sometimes not.",TRUE,merkte vaak niet dat ik hem op had. Maar soms was het sociaal ongemakleijk. Ook stoorde het soms dat het zicht iets minder helder is dan zonder bril.,sociaal ongemakkelijk: gaf in het begin ook tegenstrijdige gevoelens: ben ik een sukkel of aandachtzoeker dat ik dit doe?  maar ook complimenten gekregen dat ik meedeed.  en soms visueel vermoeiend,in het begin bij sociale contacten.  met lezen en slecht licht,"veel uitgelegd op werk.   moeten nadenken of ik hem ophad bij scholenbezoek. wel gedaan. mijn begeleiders gingen toen aan anderen uitleggen wat ik droeg, gaf hun ook ongemakkleijkeheid.  niet gedragen toen ik met mijn man meeging naar cafe","rare (niet altijd aardige) blikken op straat.  rare blikken op werk, maar dan had je een gesprek. soms gelach, maar dat was positief. complimenten dat ik het deed. soms in de winkle of op strraat een geinteresseerde vraag.  bijna iedereen dacht datb ik aan het filmen was.",veel kleinere sensor.  nog helderder glas.  in de app moet duidelijker zijn dat je meermaals op done moet klikken voor de info verzonden wordt,nee.  ik weet dat je licht nodig het en naar buiten moet. soms komt dat ervan soms niet
THUAS_S004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THUAS_S005,"It was fun in a way, but also could feel the stares of the people which made me a bit anxious sometimes, but overall, it wasn't bad.","Due to the heaviness of the glasses, it became quite uncomfortable and hurt a bit every day, which made it harder to wear it especially by the evening. When this happened, I pushed the glasses up to my head (like you do with sunglasses) for a minute or two, so that the pain would go away. Also, quite a lot of people were staring on the street and thought I was recording them, which made me uncomfortable. In these situations when people approached me, I made sure they understood that it was not a camera and explained the study and what the sensors are for.","During work, I am moving around quite a lot, I had to be more careful than usual, because I was afraid my glasses would fall off.",I was moving more carefully in general.,"Yes, as mentioned above, also multiple students and professors have approached me in the university, and my friends had a good time making fun of me :)","I am not sure if it is possible to make the sensors a little smaller or less heavy, so it won't hurt as much, or won't stand out as much.","I am not sure, I think I did mostly the things and look at things the same way as usual.",TRUE,"It was fun in a way, but also could feel the stares of the people which made me a bit anxious sometimes, but overall, it wasn`t bad","Due to the heaviness of the glasses, it became quite uncomfortable and hurt a bit every day. which made it harder to wear it especially by the evening. When this happened, I pushed the glasses up to my head (like you do with sunglasses) for a minute or to, so that the pain will go away. Also, quite a lot of people were staring on the street and though I was recording them, which also made me feel uncomfortable. IN these situations when people approached me, I made sure they understand that it was not a camera and explained the study and what the sensors are for","During work, I am moving around quite a lot, I had to be more careful than usual, because I was afraid my glasses will fall off",I was moving more carefully in general,"Yes, as mentioned above, also multiple students and professors have approached me in the university, and my friends had a good time making fun of me:)","I am not sure if it is possible to make the sensors a little smaller or less heavy, so it won`t hurt as much, or won`t stand out as much.","I am not sure, I think I did mostly the things and look at things the same way as usual."
THUAS_S006,"It was fine for one week, but I am glad I no longer have to wear them now. It was a bit of a nuisance, but also fun and meaningful to be part of this experiment.",Sometimes it was uncomfortable during certain activities. I normally do not wear glasses so it took some getting used to. Often had red marks on my nose at the end of the day. Uncomfortable while wearing headphones.,"Sports, sleep, reading, social situations","Sometimes I wore the glasses on my forehead to avoid questions in shops for example. I acted normally most of the time, but it does take time to fill in the sheet all the time and to explain why to bystanders.","Non-stop. I think I told the story almost a 100 times during parties, in shops, on the streets, family, coworkers. People were always looking at me while walking or cycling, many people directly asked what it was for. Many thought I was filming them, including security at the cinema. Some people couldn't help laugh each time they saw me. Some said they would maybe do it for a 1000 euros, but not less.","Take out the bluetooth if you are not using it to make the sensor smaller. Smaller would be better if possible. After one week went from 4.16 volt to 3.99 volt, so you could make the battery smaller if measurements are just for one week. But I get these are standardized and cheaper and multifunctional.","I tried submitting answers that reflected how I felt, I did not want to obscure the results in any way. I just lived as I normally would. I did go outside more often this week, but that's mostly because it was very sunny all week.",FALSE,"It was fine for one week, but I am glad I no longer have to wear them now. It was a bit of a nuisance, but also fun and meaningful to be part of this experiment.",Sometimes it was uncomfortable during certain activities. I normally do not wear glasses so it took some getting used to. Often had red marks on my nose at the end of the day. Uncomfortable while wearing headphones.,"Sports, sleep, reading, social situations","Sometimes I wore the glasses on my forehead to avoid questions in shops for example. I acted normally most of the time, but it does take time to fill in the sheet all the time and to explain why to bystanders.","Non-stop. I think I told the story almost a 100 times during parties, in shops, on the streets, family, coworkers. People were always looking at me while walking or cycling, many people directly asked what it was for. Many thought I was filming them, including security at the cinema. Some people couldn't help laugh each time they saw me. Some said they would maybe do it for a 1000 euros, but not less.","Take out the bluetooth if you are not using it to make the sensor smaller. Smaller would be better if possible. After one week went from 4.16 volt to 3.99 volt, so you could make the battery smaller if measurements are just for one week.     But I get these are standardized and cheaper and multifunctional","I tried submitting answers that reflected how I felt, I did not want to obscure the results in any way.     I just lived as I normally would. I did go outside more often this weeek, but that's mostly because it was very sunny all week."
THUAS_S007,"I did not enjoy wearing the glasses. I significantly changed my lifestyle and went out less because I felt uncomfortable in public. The sensor is just not very subtle. In the evenings I noticed that I couldn't really relax with the glasses on, and they also felt heavy on my face.","- In the evening it feels heavy on my face; I want to take it off, but the day isn't over yet. Sometimes I would take the glasses off an hour earlier so I could relax before going to sleep.
- The glasses reflect on the inside, so I can see my own pupils and the room behind me sometimes. This impairs my vision. If I feel like I can't see well, my first reflex is to take them off.
- There was quite a bit of commentary at the beginning from people around me about wearing the glasses. That was unpleasant, and it made me less motivated for the rest of the week. After three days this reduced somewhat; I would sometimes briefly take the glasses off to talk to people.
- I did not feel like going outside with the glasses, so I mostly stayed inside or worked from home.","Avoidance of social contact, or taking the glasses off.","- Worked from home instead of at work
- Went to the supermarket less
- Briefly took the glasses off during social contact","Yes. It was certainly a topic of conversation. The feedback was positive only once—a colleague may want to participate as well. Otherwise, the feedback was mainly negative or neutral, depending on how much I internalized it.","Much, much, much more subtle. The more it looks like a normal pair of glasses, the better.",I don't really know.,FALSE,"ik vond het niet prettig om de bril te dragen. Ik heb mijn levens patroon flink aangepast om minder het huis uit te gaan omdat ik mij in publiek onprettig voelde. De sensor is gewoon niet zo subtiel. In de avond merkte ik dat ik niet echt kon ontspannen met de bril op, hij werd dan ook wat zwaar op mijn gezicht.","- In de avond voelt hij zwaar op mijn gezicht dan wil ik hem af doen, maar de dag is nog niet voorbij. Ik deed de bril dan soms een uurtje eerder af zodat ik nog even kon ontspannen voor het slapen gaan  - De bril spiegels aan de binnenkant, dus ik kan mijn eigen pupillen en de ruimte achter mij soms zien. Dit belemert mijn zicht. Dit zorgt er voor dat als ik het idee heb dat ik iets niet helemaal goed zie, mijn eerste reflex is om de bril af te doen.  - Er was best wel commentaar in het begin over het dragen van de bril, door mensen om mij heen. Dat was niet fijn, ik had toen ook weinig zin in de rest van de week. Na drie dagen werd dit wel minder, ik deed de bril soms kort af om met mensen te praten.  - Ik had weinig zin om naar buiten te gaan met de bril, en ben dus veel binnen gebleven of heb thuis gewerkt  -","Vermijding van sociaal contact, of de bril af.",- Thuis gewerkt ipv op werk  - Minder naar de supermarkt gaan  - Bril kort af bij sociaal contact,Ja. Het was zeker een gesprekspunt. De feedback was slechts een keer positief. Een collega wilde wellicht ook mee doen. Verder was de feedback voornamelijk negatief of neutraal afhankelijk van hoe erg ik het mij toeeigende.,Veel veel veel subtieler. Hoe meer het er als een normale bril uitziet hoe beter.,weet ik niet zo goed
THUAS_S008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THUAS_S009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THUAS_S010,"Strange, I normally don't wear glasses. However, I do want to buy glasses with a blue light filter so I don’t get discomfort from looking at screens in the dark. But the weight of the sensor on the glasses was sometimes annoying.",The pressure of the glasses on the bridge of my nose; sometimes I chose not to wear the glasses for a while or to put them on top of my head for a bit.,"Mostly due to questions from other people who were curious about what it was and if it wasn’t a camera, and whether I was filming them.","Somewhat, for example I didn’t wear them during a long outdoor shift in hospitality. Otherwise, I tried to wear them as much as possible.","Definitely, got a lot of questions about what it was. On the street, you were usually looked at strangely by people passing by.",Make the sensor thinner and integrate it into the upper rim of the glasses instead of having a block above your nose.,I started to reflect more on how I experienced certain situations throughout the day.,FALSE,"raar, normaal gesproken draag ik gen bril. ik wil echter wel een bril met blauw filter gaan kopen zodat ik geen last krijg van het kijken naar schermen in het donker. maar het gewicht van de sensor op de bril was soms irritant","de druk van de bril op mijn neus brug, ik heb hier soms voor gekozen om de bril even niet te dragen of kort boven op mijn hoofd te zetten",vooral van vragen van ander mensen die nieuwsgierig waren naar wat het is en of het geen camera is en dat ik hen niet film,"enigszins, ik heb hem niet gedragen tijdens een lange horeca shift buiten, voor de rest heb ik hem zo veel mogelijk gedragen.","zeker, veel vragen naar wat het is. op straat werd je meestal raar aangekeken door voorbijgangers.",de sensor dunner maken en in de bovenrand vand e bril verwerken inplaats van een blok boven op je neus,ik ben beter gaan nadenken hoe ik sommige situaties had ervaren door de loop van de dag heen.
